,代號,名稱,現價,升跌,升跌率(%),成交量,成交額,市值
0,0001.HK,長江和記實業,47.95,0.65,1.4,4.62百萬股,2.21億,"1,811.61億"
1,0002.HK,中電控股,57.25,0.3,0.5,2.28百萬股,1.31億,"1,438.81億"
2,0003.HK,香港中華煤氣,7.6,0.07,0.9,1.70千萬股,1.29億,"1,405.09億"
3,0005.HK,匯豐控股,50.0,1.3,2.7,2.05千萬股,10.19億,"9,882.99億"
4,0006.HK,電能實業,43.45,0.4,0.9,2.35百萬股,1.02億,917.44億
5,0011.HK,恒生銀行,131.6,1.7,1.3,1.20百萬股,1.58億,"2,483.48億"
6,0012.HK,恒基地產,27.8,0.2,0.7,2.47百萬股,6.84千萬,"1,336.22億"
7,0016.HK,新鴻基地產,108.5,-0.7,-0.6,3.48百萬股,3.78億,"3,164.38億"
8,0017.HK,新世界發展,23.2,0.45,2.0,5.42百萬股,1.25億,572.53億
9,0027.HK,銀河娛樂,54.25,0.65,1.2,9.54百萬股,5.14億,"2,341.74億"
10,0066.HK,港鐵公司,42.0,0.2,0.5,4.57百萬股,1.91億,"2,592.46億"
11,0101.HK,恒隆地產,15.76,0.0,0.0,3.91百萬股,6.18千萬,709.08億
12,0175.HK,吉利汽車,12.04,0.18,1.5,5.36千萬股,6.41億,"1,192.76億"
13,0241.HK,阿里健康,7.4,0.75,11.3,1.70億股,12.25億,899.13億
14,0267.HK,中信股份,8.37,0.14,1.7,7.57百萬股,6.30千萬,"2,394.13億"
15,0288.HK,萬洲國際,4.7,0.04,0.9,2.12千萬股,9.99千萬,597.89億
16,0291.HK,華潤啤酒,55.25,0.3,0.5,1.07千萬股,5.87億,"1,782.68億"
17,0316.HK,東方海外國際,140.4,-1.3,-0.9,1.45百萬股,2.02億,935.75億
18,0322.HK,康師傅控股,13.74,-0.28,-2.0,8.14百萬股,1.12億,789.91億
19,0386.HK,中國石油化工股份,3.83,0.01,0.3,7.30千萬股,2.78億,946.63億
20,0388.HK,香港交易所,354.0,11.0,3.2,5.56百萬股,19.49億,"4,348.68億"
21,0669.HK,創科實業,88.65,0.3,0.3,3.36百萬股,2.96億,"1,620.96億"
22,0688.HK,中國海外發展,22.2,1.2,5.7,2.61千萬股,5.73億,"2,298.43億"
23,0700.HK,騰訊控股,361.0,15.8,4.6,3.74千萬股,133.23億,"33,031.29億"
24,0762.HK,中國聯通,5.23,0.05,1.0,5.95千萬股,3.12億,"1,584.98億"
25,0823.HK,領展房產基金,60.0,1.8,3.1,9.71百萬股,5.78億,"1,238.61億"
26,0857.HK,中國石油股份,3.6,0.0,0.0,6.36千萬股,2.28億,759.56億
27,0868.HK,信義玻璃,15.6,0.68,4.6,1.04千萬股,1.60億,612.82億
28,0881.HK,中升控股,43.4,1.75,4.2,4.51百萬股,1.95億,"1,000.97億"
29,0883.HK,中國海洋石油,10.04,-0.06,-0.6,8.02千萬股,8.06億,"4,502.25億"
30,0939.HK,建設銀行,5.0,0.07,1.4,3.22億股,16.00億,"11,852.57億"
31,0941.HK,中國移動,53.55,1.05,2.0,3.76千萬股,20.01億,"10,741.53億"
32,0960.HK,龍湖集團,27.0,2.85,11.8,3.50千萬股,9.24億,"1,516.99億"
33,0968.HK,信義光能,9.01,0.1,1.1,2.40千萬股,2.15億,792.63億
34,0981.HK,中芯國際,16.96,0.14,0.8,2.71千萬股,4.58億,"1,001.68億"
35,0992.HK,聯想集團,6.58,0.09,1.4,2.47千萬股,1.62億,787.12億
36,1038.HK,長江基建集團,41.7,0.6,1.5,1.15百萬股,4.77千萬,"1,035.56億"
37,1044.HK,恒安國際,42.5,1.8,4.4,3.52百萬股,1.47億,472.98億
38,1088.HK,中國神華,22.8,-0.25,-1.1,1.96千萬股,4.47億,778.51億
39,1093.HK,石藥集團,8.59,0.27,3.2,5.70千萬股,4.85億,992.84億
40,1109.HK,華潤置地,37.7,1.1,3.0,1.39千萬股,5.19億,"2,609.92億"
41,1113.HK,長實集團,48.6,0.5,1.0,4.06百萬股,1.97億,"1,734.10億"
42,1177.HK,中國生物製藥,4.69,0.06,1.3,3.68千萬股,1.72億,871.08億
43,1209.HK,華潤萬象生活,44.5,3.05,7.4,3.89百萬股,1.70億,946.10億
44,1211.HK,比亞迪股份,203.0,1.4,0.7,6.47百萬股,13.02億,"2,213.57億"
45,1299.HK,友邦保險,91.35,3.05,3.5,3.01千萬股,27.06億,"10,402.51億"
46,1378.HK,中國宏橋集團,7.42,-0.1,-1.3,2.69千萬股,1.98億,712.56億
47,1398.HK,工商銀行,4.13,0.07,1.7,2.11億股,8.69億,"3,523.84億"
48,1810.HK,小米集團－Ｗ,11.5,0.28,2.5,8.43千萬股,9.60億,"2,284.45億"
49,1876.HK,百威亞太,25.55,0.6,2.4,4.30百萬股,1.09億,"3,304.23億"
50,1928.HK,金沙中國有限公司,28.05,1.15,4.3,2.94千萬股,8.11億,"2,177.07億"
51,1929.HK,周大福,17.0,0.54,3.3,8.74百萬股,1.47億,"1,646.00億"
52,1997.HK,九龍倉置業,46.55,0.1,0.2,3.97百萬股,1.83億,"1,410.33億"
53,2007.HK,碧桂園,2.89,0.2,7.4,4.90億股,13.93億,743.46億
54,2020.HK,安踏體育,104.7,0.5,0.5,6.58百萬股,6.82億,"2,827.60億"
55,2269.HK,藥明生物,66.2,3.65,5.8,3.77千萬股,24.42億,"2,640.82億"
56,2313.HK,申洲國際,88.25,-0.4,-0.5,4.58百萬股,4.04億,"1,332.61億"
57,2318.HK,中國平安,55.7,2.85,5.4,4.79千萬股,26.16億,"3,936.04億"
58,2319.HK,蒙牛乳業,36.7,0.3,0.8,5.94百萬股,2.17億,"1,439.69億"
59,2331.HK,李寧,71.1,1.75,2.5,1.60千萬股,11.19億,"1,826.62億"
60,2382.HK,舜宇光學科技,86.2,-9.7,-10.1,2.03千萬股,17.55億,"1,051.88億"
61,2388.HK,中銀香港,27.25,0.45,1.7,1.67千萬股,4.58億,"2,833.51億"
62,2628.HK,中國人壽,14.2,0.54,4.0,6.73千萬股,9.43億,"1,016.46億"
63,2688.HK,新奧能源,118.3,4.9,4.3,2.20百萬股,2.57億,"1,282.42億"
64,3690.HK,美團－Ｗ,181.3,4.5,2.5,4.29千萬股,77.67億,"9,809.12億"
65,3692.HK,翰森製藥,16.26,1.16,7.7,7.32百萬股,1.17億,894.27億
66,3968.HK,招商銀行,46.15,1.65,3.7,2.74千萬股,12.46億,"2,042.95億"
67,3988.HK,中國銀行,2.91,0.05,1.7,2.29億股,6.62億,"2,391.60億"
68,6098.HK,碧桂園服務,21.65,2.27,11.7,6.94千萬股,14.63億,653.71億
69,6690.HK,海爾智家,27.6,1.0,3.8,1.23千萬股,3.37億,762.63億
70,6862.HK,海底撈國際,23.0,0.2,0.9,2.06千萬股,4.67億,"1,270.87億"
71,9618.HK,京東集團－ＳＷ,241.0,16.2,7.2,1.18千萬股,27.95億,"6,022.20億"
72,9633.HK,農夫山泉,43.65,0.0,0.0,3.34百萬股,1.45億,"2,197.63億"
73,9888.HK,百度集團－ＳＷ,124.2,9.4,8.2,9.59百萬股,11.73億,"2,604.74億"
74,9988.HK,阿里巴巴－ＳＷ,96.4,7.75,8.7,1.19億股,112.16億,"18,780.60億"
75,9999.HK,網易－Ｓ,125.7,7.1,6.0,9.52百萬股,11.84億,"4,097.77億"
